symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
API3/USDT,-2.98,0.19,pump_stagnation_exit,True,B,44.0,24.0,26.0,7.0,4.48,7790.35,2.83,3.19,5.2,4.73,4.35,7.76,-1.08,-1.08
VTHO/USDT,-753.94,-3.48,pump_3h_down,False,B,44.0,39.0,22.0,8.0,0.0,5460826.7,-0.77,-1.92,-3.41,-3.41,2.45,2.45,-3.11,-4.07
CKB/USDT,-1071.02,-8.75,pump_initial_stop,False,B,215.0,69.0,38.0,2.5,0.01,806752.52,-8.51,-8.69,-8.69,-8.69,0.67,0.67,-11.45,-14.15
RIF/USDT,9304.84,11.63,pump_lock_2pct,True,B,62.0,49.0,36.0,17.6,0.22,357649.7,-1.17,0.76,1.74,5.19,5.33,5.91,-2.29,-4.53
VTHO/USDT,1776.04,16.01,pump_lock_2pct,False,B,124.0,96.0,58.0,5.6,0.01,1938471.55,16.14,16.14,16.14,16.14,21.88,21.88,-0.46,-0.46
USTC/USDT,1802.92,7.3,pump_lock_2pct,False,B,37.0,30.0,15.0,12.9,0.03,731039.15,7.34,7.34,7.34,7.34,11.58,11.58,-2.21,-2.21
USTC/USDT,-2377.07,-8.93,pump_3h_down,False,B,45.0,38.0,27.0,8.6,0.04,697191.73,-0.7,2.39,-1.89,-1.38,4.31,4.31,-4.22,-4.22
VTHO/USDT,-1795.81,-17.07,pump_3h_down,False,B,144.0,115.0,59.0,9.1,0.01,1633324.86,-0.03,-2.99,-1.34,1.17,4.66,4.66,-11.07,-11.07
WLD/USDT,45645.96,52.4,pump_trailing_stop,True,A,49.0,28.0,14.0,3.3,3.96,21330.25,-3.66,-6.24,-3.13,-1.31,0.23,0.23,-4.78,-6.85
IOTX/USDT,39.77,0.45,pump_breakeven,False,B,47.0,44.0,33.0,30.0,0.07,230413.67,-1.3,-1.99,-1.8,-0.99,2.73,2.86,-2.78,-4.01
CVX/USDT,-3675.5,-3.61,pump_stagnation_exit,True,B,19.0,19.0,13.0,10.0,4.27,21809.38,-1.34,-0.73,-0.52,3.84,7.35,7.35,-2.62,-2.62
FLUX/USDT,-1627.63,-5.75,pump_3h_down,False,B,33.0,31.0,17.0,4.4,0.93,29425.69,-4.21,-4.35,-5.7,-5.7,1.67,1.67,-4.9,-7.06
WLD/USDT,-4470.36,-6.83,pump_stagnation_exit,True,B,104.0,45.0,24.0,2.1,7.57,8369.52,-4.28,-0.3,-1.37,1.84,1.36,3.03,-5.45,-5.45
JASMY/USDT,-1705.94,-6.09,pump_probe_kill,False,B,23.0,24.0,18.0,24.9,0.01,3439620.48,-2.06,-2.91,-1.9,-6.56,1.79,1.79,-2.96,-6.67
