symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
VIC/USDT,-11637.95,-9.19,pump_3h_down,23.0,32.0,12.0,3.9,WARM,early,0.447524,277220.23,-2.26,-6.24,-9.12,-9.12,0.13,0.13,-3.45,-9.97,True,True,True,True
CVC/USDT,989.9,0.93,pump_stagnation_exit,21.0,20.0,12.0,19.6,WARM,early,0.106753,1271956.84,-2.49,-4.55,-3.42,-4.27,0.14,0.14,-2.86,-5.67,True,True,True,True
RPL/USDT,-7561.0,-5.35,pump_3h_down,19.0,28.0,27.0,54.3,WARM,early,11.98599,11370.01,-0.72,-5.06,-3.39,-4.05,0.87,0.87,-1.8,-6.81,True,True,True,True
RARE/USDT,-7123.72,-5.18,pump_3h_down,20.0,19.0,12.0,2.8,WARM,early,0.167184,792532.87,-1.55,-2.5,-1.96,-2.8,1.86,1.86,-2.98,-3.4,True,True,True,True
PEOPLE/USDT,2588.97,2.17,pump_stagnation_exit,19.0,19.0,11.0,6.1,HOT,early,0.061581,2133910.96,1.51,1.85,1.1,1.85,2.22,4.45,-0.59,-0.59,True,True,True,True
CKB/USDT,1737.16,1.64,pump_stagnation_exit,57.0,55.0,28.0,9.1,WARM,early,0.013584,8866954.5,-4.25,-5.05,-2.18,-1.73,0.14,0.14,-6.15,-6.15,True,True,True,True
SAGA/USDT,-5879.26,-4.29,pump_3h_down,13.0,20.0,15.0,3.1,WARM,early,1.622511,80800.05,-1.87,-3.95,-4.22,-4.22,-0.04,-0.04,-1.97,-5.63,False,False,True,True
DYM/USDT,-3564.37,-2.58,pump_3h_down,14.0,22.0,22.0,6.1,WARM,early,1.649825,77679.69,-0.6,-3.38,-1.38,-1.44,2.13,2.13,-1.38,-4.11,True,True,True,True
CKB/USDT,-6006.85,-4.56,pump_3h_down,28.0,19.0,16.0,2.1,WARM,early,0.018587,6798989.39,4.52,4.23,-2.86,0.11,7.2,9.16,-0.19,-4.55,True,True,True,True
SAGA/USDT,-655.74,-0.33,pump_stagnation_exit,65.0,24.0,11.0,1.7,WARM,confirmed,2.413606,51114.33,-1.92,0.58,3.53,5.34,0.74,7.31,-5.4,-5.4,True,True,True,True
SEI/USDT,-5930.39,-4.66,pump_stagnation_exit,17.0,25.0,22.0,5.2,WARM,early,0.341871,357215.41,-1.4,-1.31,-1.54,-0.93,0.07,0.33,-1.69,-2.86,True,True,True,True
KAVA/USDT,-6503.91,-5.14,pump_3h_down,34.0,29.0,20.0,3.0,HOT,early,0.406603,299878.68,-0.49,-4.16,-5.07,-5.07,1.08,1.08,-5.29,-5.95,True,True,True,True
KAVA/USDT,-400.21,-0.15,pump_stagnation_exit,32.0,22.0,14.0,4.3,HOT,early,0.395598,288770.87,1.82,-0.58,-1.11,0.61,3.94,4.27,-0.05,-1.67,True,True,True,True
FIDA/USDT,1461.96,1.45,pump_breakeven,32.0,37.0,30.0,19.2,HOT,early,0.308954,378119.13,-4.32,5.68,30.21,33.45,2.25,42.74,-6.91,-6.91,True,True,True,True
CTK/USDT,-7766.51,-5.22,pump_3h_down,37.0,28.0,20.0,9.3,WARM,early,0.678939,211140.39,-1.18,-3.26,-5.23,-5.23,4.28,4.28,-3.35,-6.18,True,True,True,True
ARDR/USDT,-553.33,-0.51,pump_profit_protect,48.0,41.0,19.0,8.1,WARM,early,0.097849,798682.56,-0.92,-2.06,3.32,5.49,1.69,6.48,-2.74,-4.04,True,True,True,True
TAO/USDT,-5554.99,-4.71,pump_3h_down,34.0,23.0,18.0,4.5,WARM,early,565.58265,200.13,-0.85,-3.55,-2.31,-4.13,0.04,0.04,-3.06,-4.65,True,True,True,True
IQ/USDT,-10523.79,-9.34,pump_3h_down,31.0,29.0,23.0,28.0,WARM,early,0.007031,15704660.67,-1.43,3.21,0.48,-0.43,0.55,4.44,-3.39,-3.81,True,True,True,True
FIDA/USDT,-2977.66,-2.63,pump_3h_down,16.0,28.0,25.0,16.4,WARM,early,0.370685,283656.56,4.62,4.21,4.32,4.59,7.34,9.12,-2.07,-2.07,True,True,True,True
SEI/USDT,2529.0,2.64,pump_profit_protect,11.0,19.0,13.0,3.7,WARM,early,0.433717,238998.67,4.77,6.5,5.14,5.53,5.53,9.56,-0.6,-0.6,True,True,True,True
FTT/USDT,-8863.64,-8.26,pump_3h_down,21.0,30.0,23.0,6.5,WARM,early,2.534266,41401.67,0.46,-5.42,-5.97,-5.46,2.44,2.44,-2.93,-8.28,True,True,True,True
CVC/USDT,-1176.65,-0.97,pump_time_exit,28.0,24.0,12.0,4.3,WARM,early,0.16048,626175.86,2.82,3.31,3.38,4.81,4.12,5.93,-1.55,-1.55,True,True,True,True
ARKM/USDT,-1854.34,-1.66,pump_3h_down,8.0,19.0,13.0,6.1,WARM,early,1.53977,64879.98,-0.89,-0.7,-0.83,-1.67,0.4,0.4,-2.65,-2.65,True,True,True,True
ENA/USDT,4613.36,4.85,pump_stagnation_exit,19.0,20.0,18.0,3.7,WARM,early,0.325363,305515.53,5.61,2.16,3.82,3.61,6.19,6.19,-0.3,-0.3,True,True,True,True
APE/USDT,-2127.74,-3.26,pump_time_exit,100.0,90.0,13.0,4.2,WARM,early,1.389695,44234.9,10.67,13.12,6.43,10.02,24.49,24.49,-0.55,-0.55,True,True,True,True
AXL/USDT,-331.85,-0.13,pump_time_exit,16.0,23.0,13.0,11.0,WARM,early,0.718259,141008.22,3.19,8.26,8.22,7.93,3.29,9.79,-0.16,-0.16,True,True,True,True
CYBER/USDT,-3719.52,-3.52,pump_3h_down,25.0,19.0,13.0,6.4,WARM,early,3.359679,29779.63,1.94,-2.19,-1.69,-1.45,4.44,4.44,-2.58,-3.53,True,True,True,True
MASK/USDT,-5602.89,-5.46,pump_time_exit,26.0,25.0,22.0,13.4,HOT,early,2.892446,34280.88,4.72,0.68,-2.02,-4.2,8.04,8.04,-0.29,-4.96,True,True,True,True
SCR/USDT,-5413.01,-5.48,pump_stagnation_exit,4.0,25.0,17.0,6.5,WARM,early,0.687344,138775.54,-1.65,-1.07,0.24,-1.65,3.59,3.59,-2.23,-3.11,True,True,True,True
RARE/USDT,1705.39,2.01,pump_stagnation_exit,10.0,26.0,30.0,5.7,WARM,early,0.128164,737736.17,-2.47,-6.76,-5.75,-3.17,1.12,1.12,-3.33,-7.62,True,True,True,True
SUI/USDT,1567.87,1.88,pump_stagnation_exit,21.0,19.0,13.0,1.8,HOT,early,2.213106,42262.65,2.96,3.22,4.48,2.26,4.31,6.43,-0.93,-0.93,True,True,True,True
LDO/USDT,-577.19,-0.41,pump_time_exit,34.0,32.0,11.0,1.8,HOT,early,1.279639,73705.18,4.01,8.62,5.03,4.64,4.95,10.5,-0.44,-0.44,True,True,True,True
STG/USDT,-13293.1,-13.08,pump_initial_stop,59.0,51.0,48.0,129.4,WARM,early,0.422711,237016.25,-8.33,-13.06,-13.06,-13.06,0.23,0.23,-11.05,-14.69,True,True,True,True
RAY/USDT,-10929.88,-10.23,pump_3h_down,61.0,18.0,17.0,2.5,WARM,early,5.818908,18019.35,-0.38,3.04,-0.72,-7.3,-0.05,3.11,-2.8,-9.11,False,True,True,True
HMSTR/USDT,-3026.35,-8.4,pump_initial_stop,88.0,93.0,15.0,2.6,WARM,early,0.00491,7169540.94,-10.66,-8.28,-8.28,-8.28,0.07,0.07,-11.64,-16.4,True,True,True,True
HMSTR/USDT,-655.77,-1.83,pump_3h_down,106.0,121.0,16.0,1.8,WARM,confirmed,0.005707,5654987.68,-0.03,-0.72,-1.82,-1.82,4.79,4.79,-2.15,-4.82,True,True,True,True
CETUS/USDT,-2011.9,-1.89,pump_stagnation_exit,59.0,21.0,17.0,3.1,WARM,early,0.469735,205381.89,-3.65,-3.01,0.1,2.44,1.38,3.78,-6.59,-6.59,True,True,True,True
HMSTR/USDT,1407.45,3.95,pump_stagnation_exit,107.0,102.0,19.0,1.5,WARM,confirmed,0.005608,6707095.59,6.28,1.43,-1.24,2.98,7.85,7.85,-0.58,-4.37,True,True,True,True
AGLD/USDT,-1290.52,-1.43,pump_3h_down,17.0,20.0,11.0,3.9,HOT,early,1.579789,50203.91,2.67,2.86,3.24,4.06,6.53,6.6,-1.63,-1.63,True,True,True,True
TRB/USDT,-7197.67,-9.67,pump_initial_stop,70.0,72.0,52.0,21.1,HOT,early,94.2471,774.85,-6.43,-9.58,-9.58,-9.58,5.26,5.26,-11.94,-15.47,True,True,True,True
HIGH/USDT,-4945.55,-6.36,pump_3h_down,27.0,25.0,16.0,12.1,WARM,early,1.645822,45885.39,-3.57,-2.84,-3.63,-6.37,0.8,0.8,-6.92,-7.1,True,True,True,True
PIVX/USDT,-2279.25,-2.93,pump_stagnation_exit,23.0,19.0,12.0,80.9,HOT,early,0.247324,294816.09,1.0,-3.61,-6.76,-5.06,1.89,1.89,-2.48,-8.26,True,True,True,True
STX/USDT,-4386.58,-5.91,pump_3h_down,27.0,21.0,19.0,3.0,HOT,early,2.10005,34239.66,-0.76,-2.43,-5.91,-5.91,-0.0,-0.0,-4.1,-7.72,False,False,True,True
BTTC/USDT,-3672.37,-4.19,pump_3h_down,39.0,28.0,23.0,7.7,WARM,early,1e-06,68533539042.08,-4.15,-6.6,1.59,3.23,4.05,8.96,-5.78,-7.42,True,True,True,True
BONK/USDT,-2381.94,-2.73,pump_initial_stop,42.0,23.0,19.0,2.4,WARM,early,3.1e-05,2610888222.89,0.91,9.6,-0.95,-2.65,3.38,9.79,-1.68,-10.12,True,True,True,True
ALT/USDT,-5808.04,-8.52,pump_initial_stop,8.0,20.0,19.0,9.2,WARM,early,0.126323,527867.96,-8.46,-8.46,-8.46,-8.46,0.92,0.92,-11.66,-11.66,True,True,True,True
XVG/USDT,-7067.98,-11.16,pump_initial_stop,63.0,54.0,42.0,56.1,WARM,early,0.007354,8466380.63,-3.84,-2.4,-1.76,-11.08,2.22,6.11,-6.33,-13.68,True,True,True,True
DGB/USDT,-241.77,-0.22,pump_time_exit,23.0,20.0,16.0,42.4,WARM,early,0.008444,6847945.44,-0.29,5.4,5.63,3.15,2.2,10.13,-2.3,-2.3,True,True,True,True
FLOKI/USDT,-2145.42,-3.31,pump_3h_down,23.0,20.0,14.0,4.4,HOT,early,0.000253,241411950.47,6.63,5.26,4.8,4.03,8.62,8.62,-0.2,-0.2,True,True,True,True
LUNA/USDT,-9472.02,-13.18,pump_3h_down,48.0,45.0,41.0,51.6,HOT,early,0.530265,133623.4,-7.74,-6.46,-8.31,-13.08,1.93,1.93,-8.14,-15.38,True,True,True,True
TFUEL/USDT,-3159.11,-5.62,pump_3h_down,20.0,21.0,15.0,10.6,WARM,early,0.071126,763553.15,-3.62,-3.31,-6.63,-5.41,13.38,13.38,-5.29,-8.61,True,True,True,True
HBAR/USDT,-4606.03,-14.54,pump_3h_down,110.0,58.0,26.0,2.5,WARM,early,0.141221,221519.76,-9.01,-9.64,-14.5,-14.5,1.26,1.26,-9.34,-14.67,True,True,True,True
CATI/USDT,-1587.74,-2.31,pump_time_exit,53.0,34.0,27.0,3.1,WARM,early,0.614607,102949.26,4.91,2.37,12.07,16.89,5.66,18.55,-4.05,-4.05,True,True,True,True
ETHFI/USDT,-2758.28,-5.36,pump_3h_down,20.0,31.0,34.0,13.3,WARM,early,1.993997,24889.39,-1.96,-2.71,-5.27,-5.27,0.85,0.85,-4.31,-6.12,True,True,True,True
OP/USDT,-2080.17,-4.04,pump_3h_down,19.0,26.0,24.0,10.8,WARM,early,2.106053,23322.78,-0.86,-2.28,-1.28,-0.29,1.04,1.04,-2.28,-3.14,True,True,True,True
LUNA/USDT,-2882.85,-5.9,pump_3h_down,10.0,21.0,13.0,3.3,HOT,early,0.486143,97342.81,-1.14,-4.23,-5.79,-5.79,1.45,1.45,-3.61,-6.26,True,True,True,True
FTT/USDT,-3707.37,-7.8,pump_3h_down,36.0,40.0,15.0,2.1,WARM,early,2.784592,16667.74,0.45,-0.27,0.59,-2.2,1.26,6.54,-4.7,-4.7,True,True,True,True
SCRT/USDT,1137.77,2.91,pump_profit_protect,71.0,49.0,43.0,10.5,WARM,early,0.514357,81651.45,-3.22,2.09,17.0,18.91,3.24,24.43,-6.95,-6.95,True,True,True,True
HBAR/USDT,-4443.75,-9.89,pump_initial_stop,26.0,35.0,22.0,2.4,HOT,early,0.165223,266713.2,-9.87,-9.87,-9.87,-9.87,2.58,2.58,-12.68,-12.68,True,True,True,True
ICP/USDT,-1582.05,-3.41,pump_stagnation_exit,27.0,26.0,13.0,2.3,WARM,early,11.551773,3793.3,-1.79,-5.02,-4.01,-5.95,0.86,0.86,-2.44,-6.88,True,True,True,True
VET/USDT,-1596.06,-3.01,pump_stagnation_exit,42.0,41.0,18.0,4.2,HOT,early,0.045673,1089495.02,-0.53,-5.3,-4.74,-4.25,3.93,3.93,-1.6,-6.42,True,True,True,True
KSM/USDT,27245.49,57.71,pump_trailing_stop,56.0,54.0,24.0,14.6,HOT,early,32.55627,1456.66,2.78,24.37,43.08,33.65,5.97,52.41,-1.37,-1.37,True,True,True,True
HIVE/USDT,-2433.37,-4.29,pump_3h_down,32.0,26.0,20.0,15.2,HOT,early,0.303252,179052.86,0.38,0.91,-0.31,-3.02,4.53,4.53,-3.84,-5.03,True,True,True,True
ONE/USDT,-2988.49,-9.4,pump_initial_stop,93.0,54.0,23.0,3.1,HOT,early,0.027204,1145990.67,4.99,-4.5,-7.51,-4.46,12.04,12.04,-3.98,-9.68,True,True,True,True
SAND/USDT,-1971.45,-5.22,pump_3h_down,85.0,63.0,44.0,6.9,HOT,early,0.632216,57565.41,-5.11,-4.78,-3.18,0.12,0.39,2.81,-9.3,-9.3,True,True,True,True
HOT/USDT,-1710.45,-3.23,pump_3h_down,32.0,18.0,17.0,8.3,WARM,early,0.002814,17760415.1,0.23,-2.08,-0.26,-1.61,3.5,3.5,-1.01,-3.43,True,True,True,True
PYR/USDT,-314.37,-0.43,pump_time_exit,39.0,24.0,14.0,7.3,WARM,early,3.94197,12675.8,-2.36,0.53,-2.41,-1.17,0.84,3.2,-3.32,-3.6,True,True,True,True
COS/USDT,-3910.53,-6.38,pump_3h_down,54.0,36.0,17.0,15.6,WARM,early,0.01229,4841601.08,-3.31,-1.37,-0.24,-3.49,2.39,4.56,-4.83,-5.44,True,True,True,True
SUSHI/USDT,-1649.24,-3.28,pump_3h_down,19.0,19.0,10.0,2.9,HOT,early,1.195598,39713.99,-2.98,-2.56,-2.64,-3.23,0.2,0.2,-3.56,-4.4,True,True,True,True
ZEN/USDT,1624.89,3.62,pump_stagnation_exit,32.0,26.0,13.0,4.6,WARM,early,14.797395,3218.84,-1.54,-0.52,1.03,3.4,1.71,4.68,-2.01,-2.01,True,True,True,True
LISTA/USDT,-4241.97,-8.1,pump_3h_down,46.0,37.0,16.0,4.7,HOT,early,0.611105,83735.69,-0.07,-7.5,-8.05,-8.05,2.21,2.21,-2.23,-8.82,True,True,True,True
ENS/USDT,-531.42,-0.77,pump_time_exit,68.0,52.0,34.0,4.0,HOT,early,34.09704,1601.18,2.79,0.42,-3.86,-1.69,9.36,9.36,-2.51,-6.65,True,True,True,True
ACT/USDT,-783.68,-1.25,pump_time_exit,50.0,44.0,11.0,5.1,WARM,early,0.628414,86370.41,0.51,1.45,6.04,-1.47,4.64,6.54,-1.5,-2.98,True,True,True,True
CRV/USDT,-2384.5,-5.12,pump_3h_down,31.0,24.0,16.0,2.9,WARM,early,0.62081,72225.42,-1.92,-4.17,-4.08,-4.9,1.01,1.01,-3.11,-4.95,True,True,True,True
FIL/USDT,-1096.41,-2.27,pump_3h_down,26.0,20.0,12.0,2.7,WARM,early,7.233615,6143.89,-0.37,-1.79,-2.21,-2.21,0.07,1.22,-2.04,-2.9,True,True,True,True
DGB/USDT,-293.94,-0.5,pump_time_exit,39.0,35.0,18.0,23.6,WARM,early,0.014937,2807408.92,1.82,2.9,10.33,4.44,3.77,13.14,-4.2,-4.2,True,True,True,True
USUAL/USDT,-925.39,-1.96,pump_stagnation_exit,19.0,20.0,16.0,9.1,WARM,early,0.365182,117364.26,-1.99,-4.68,-3.86,-1.31,0.63,1.32,-4.98,-6.07,True,True,True,True
HBAR/USDT,-2254.4,-7.51,pump_time_exit,103.0,58.0,19.0,1.5,WARM,confirmed,0.352906,82916.2,-2.63,6.1,9.09,5.09,1.09,11.13,-5.73,-5.73,True,True,True,True
CVX/USDT,27704.18,65.69,pump_trailing_stop,45.0,36.0,11.0,2.8,WARM,early,4.325162,9790.29,3.46,1.24,-0.33,6.22,5.36,6.35,-0.3,-1.3,True,True,True,True
CVX/USDT,-593.6,-0.67,pump_3h_down,61.0,37.0,31.0,2.1,HOT,early,7.173585,9505.48,-0.11,-0.48,-0.54,-0.54,3.83,3.83,-1.03,-1.03,True,True,True,True
COMP/USDT,-812.59,-1.0,pump_time_exit,57.0,25.0,20.0,3.5,HOT,early,112.746345,599.01,-4.48,2.27,12.85,6.23,0.26,15.29,-4.99,-5.57,True,True,True,True
FTT/USDT,-2023.6,-3.8,pump_stagnation_exit,45.0,37.0,25.0,15.5,WARM,early,3.599299,14063.24,0.88,4.09,1.85,3.52,6.41,6.97,-0.05,-0.5,True,True,True,True
RSR/USDT,237.25,1.25,pump_breakeven,80.0,78.0,23.0,8.4,WARM,early,0.016923,1333510.61,1.57,8.28,6.68,32.77,3.5,53.63,-8.19,-8.19,True,True,True,True
ZRX/USDT,-686.6,-1.06,pump_time_exit,28.0,22.0,19.0,2.4,WARM,early,0.793296,68885.08,7.07,12.51,5.46,3.82,10.03,14.96,-3.83,-3.83,True,True,True,True
CELR/USDT,-1467.95,-2.56,pump_3h_down,30.0,27.0,19.0,6.7,WARM,early,0.030905,1723893.57,-1.25,-2.31,-2.48,-2.48,1.44,1.44,-1.7,-3.09,True,True,True,True
EIGEN/USDT,-839.51,-1.39,pump_stagnation_exit,26.0,27.0,13.0,4.3,WARM,early,4.889443,10823.04,1.65,-4.08,-3.18,-2.24,3.39,3.39,-0.68,-4.57,True,True,True,True
USUAL/USDT,-3871.46,-10.42,pump_initial_stop,81.0,31.0,10.0,1.6,WARM,confirmed,0.854127,42717.75,3.01,1.53,-10.59,-10.59,5.1,5.1,-2.24,-16.49,True,True,True,True
TURBO/USDT,-551.66,-0.85,pump_time_exit,19.0,30.0,17.0,2.1,HOT,early,0.012817,4107989.38,2.34,8.91,4.03,4.26,2.67,11.79,-1.76,-1.76,True,True,True,True
AAVE/USDT,3351.93,6.92,pump_stagnation_exit,25.0,28.0,16.0,2.9,WARM,early,344.99241,144.67,-0.26,2.37,2.16,2.67,1.8,4.26,-1.32,-1.32,True,True,True,True
XVG/USDT,-1615.07,-3.23,pump_stagnation_exit,17.0,47.0,25.0,4.8,HOT,early,0.016467,2865605.84,3.36,5.41,2.81,2.43,6.0,7.43,-0.06,-2.16,True,True,True,True
AVA/USDT,4139.3,21.1,pump_breakeven,169.0,168.0,164.0,355.6,WARM,early,1.985292,9988.27,-1.28,21.16,21.16,21.16,2.13,43.56,-4.8,-4.8,True,True,True,True
COW/USDT,33676.01,64.98,pump_trailing_stop,25.0,37.0,13.0,8.0,WARM,early,0.6002,86701.26,7.15,3.75,2.28,0.68,8.28,8.28,-1.1,-1.1,True,True,True,True
COW/USDT,-3042.77,-3.71,pump_3h_down,54.0,51.0,12.0,5.5,WARM,early,0.96038,81080.83,6.09,4.18,3.65,4.61,8.33,8.33,-0.51,-0.51,True,True,True,True
COW/USDT,-1171.35,-1.62,pump_stagnation_exit,17.0,41.0,32.0,4.4,WARM,early,0.901951,71493.53,-0.67,-4.14,-0.29,0.06,0.45,1.79,-2.52,-5.96,True,True,True,True
ZEN/USDT,-3113.68,-4.86,pump_time_exit,76.0,75.0,36.0,4.1,WARM,early,25.85292,2384.73,0.53,-0.28,-0.48,1.03,3.74,10.36,-4.19,-6.12,True,True,True,True
AGLD/USDT,-662.12,-0.77,pump_time_exit,26.0,33.0,26.0,10.5,WARM,early,1.64182,41625.51,-2.49,3.12,0.01,-2.0,-0.05,4.15,-4.13,-4.13,False,True,True,True
QKC/USDT,-2141.78,-3.06,pump_3h_down,32.0,27.0,25.0,19.5,WARM,early,0.012548,5235760.93,-1.43,0.87,6.33,2.49,1.85,9.98,-2.35,-2.35,True,True,True,True
CVX/USDT,1164.09,2.0,pump_stagnation_exit,17.0,24.0,14.0,2.5,HOT,early,4.847422,13332.51,0.36,5.11,3.77,5.58,2.3,6.45,-0.98,-0.98,True,True,True,True
PHA/USDT,23176.57,35.78,pump_breakeven,16.0,26.0,18.0,9.4,WARM,early,0.151276,431071.87,35.78,35.78,35.78,35.78,37.83,37.83,-3.62,-3.62,True,True,True,True
PHA/USDT,-9944.49,-10.6,pump_initial_stop,56.0,73.0,58.0,30.0,WARM,early,0.205603,448270.66,-10.51,-10.51,-10.51,-10.51,0.53,0.53,-13.43,-13.43,True,True,True,True
BAT/USDT,1486.67,2.27,pump_stagnation_exit,24.0,31.0,26.0,21.3,WARM,early,0.286543,250677.75,-5.08,-6.82,-5.53,-1.69,3.44,3.44,-6.44,-8.25,True,True,True,True
RSR/USDT,-3707.63,-4.22,pump_3h_down,30.0,33.0,21.0,5.5,HOT,early,0.014713,5710999.83,0.98,-0.5,-1.36,-4.17,7.39,7.39,-1.14,-4.18,True,True,True,True
PHA/USDT,35146.02,60.35,pump_trailing_stop,33.0,36.0,30.0,53.8,WARM,early,0.169485,345116.57,4.43,6.97,2.72,4.79,8.21,14.17,-2.0,-2.0,True,True,True,True
COW/USDT,-1710.13,-1.94,pump_time_exit,31.0,34.0,20.0,2.6,WARM,early,1.053727,75902.64,4.28,6.13,8.44,7.58,5.65,14.4,-0.81,-0.81,True,True,True,True
PHA/USDT,34801.03,57.89,pump_trailing_stop,103.0,37.0,38.0,2.3,WARM,early,0.369184,163560.36,0.49,10.76,7.78,8.75,5.1,15.15,-3.03,-3.03,True,True,True,True
GMT/USDT,-1443.03,-1.18,pump_time_exit,42.0,45.0,22.0,2.6,WARM,early,0.194997,538131.79,3.74,0.82,6.62,5.08,6.51,10.0,-1.79,-1.79,True,True,True,True
XVG/USDT,6962.88,6.89,pump_stagnation_exit,11.0,27.0,21.0,21.5,WARM,early,0.01525,6828537.92,-3.68,-5.49,0.7,-1.3,0.07,0.89,-4.3,-7.64,True,True,True,True
HIVE/USDT,-5235.8,-4.67,pump_3h_down,32.0,25.0,31.0,10.6,WARM,early,0.437419,246024.74,1.78,1.32,0.32,5.78,6.67,6.67,-1.65,-1.65,True,True,True,True
DGB/USDT,-2780.4,-2.45,pump_3h_down,7.0,20.0,18.0,27.5,WARM,early,0.012756,8230910.98,0.19,-0.21,-1.23,-2.72,3.63,3.63,-0.99,-3.11,True,True,True,True
TAO/USDT,-4492.08,-4.14,pump_3h_down,14.0,21.0,13.0,4.3,WARM,early,536.8683,192.98,1.01,-1.41,-1.97,-4.09,1.4,1.89,-1.76,-5.41,True,True,True,True
ACT/USDT,-4403.32,-4.09,pump_stagnation_exit,19.0,20.0,14.0,2.7,HOT,early,0.338469,303789.06,-1.97,-2.62,-1.2,-1.65,-0.05,0.45,-2.35,-3.3,False,True,True,True
DEXE/USDT,-1024.99,-0.66,pump_time_exit,48.0,30.0,13.0,5.0,HOT,early,19.202597,6196.4,8.43,9.66,6.4,5.18,13.84,13.84,-1.28,-1.28,True,True,True,True
CETUS/USDT,184.18,0.39,pump_stagnation_exit,27.0,20.0,14.0,4.2,WARM,early,0.369385,267046.91,0.0,-0.1,0.36,-0.05,1.28,2.25,-1.11,-1.11,True,True,True,True
KAVA/USDT,-5103.26,-5.15,pump_3h_down,31.0,22.0,12.0,6.7,HOT,early,0.583392,163539.45,-2.28,-4.54,-5.09,-5.09,-0.05,-0.05,-2.96,-5.11,False,False,True,True
STEEM/USDT,-7220.87,-7.12,pump_3h_down,12.0,24.0,18.0,8.2,WARM,early,0.297549,331828.55,-6.64,-5.96,-3.75,-6.33,0.79,0.79,-7.61,-7.61,True,True,True,True
AI/USDT,-2071.93,-2.04,pump_stagnation_exit,-1.0,21.0,14.0,2.4,WARM,early,0.752076,123086.0,-1.13,1.11,2.09,1.28,0.42,2.92,-2.5,-2.5,True,True,True,True
AIXBT/USDT,-1355.25,-1.28,pump_3h_down,20.0,37.0,29.0,4.0,WARM,early,0.566583,161553.55,1.17,-0.16,-0.46,-1.27,3.66,3.66,-1.25,-2.75,True,True,True,True
IOST/USDT,-3266.28,-3.4,pump_3h_down,11.0,29.0,21.0,6.7,WARM,early,0.008242,11023325.1,-1.47,-2.4,-3.36,-3.36,2.79,2.79,-2.29,-4.43,True,True,True,True
AIXBT/USDT,-3832.73,-4.29,pump_3h_down,34.0,68.0,14.0,2.5,HOT,early,0.639119,133655.48,-0.02,-1.86,-4.26,-4.26,0.84,0.84,-0.55,-4.54,True,True,True,True
SAGA/USDT,-5683.27,-6.32,pump_3h_down,22.0,25.0,24.0,22.2,WARM,early,1.535567,56854.73,-3.55,-5.94,-6.29,-6.29,0.24,0.24,-5.01,-7.44,True,True,True,True
AIXBT/USDT,-1655.31,-1.43,pump_time_exit,71.0,24.0,19.0,2.0,WARM,early,0.793797,127681.89,9.89,12.19,10.6,10.87,11.49,24.72,-1.08,-1.08,True,True,True,True
SPELL/USDT,11417.85,11.59,pump_breakeven,50.0,39.0,23.0,2.7,WARM,early,0.001076,93293927.48,11.85,11.85,11.85,11.85,30.14,30.14,-2.72,-2.72,True,True,True,True
SPELL/USDT,-9884.01,-9.66,pump_3h_down,66.0,58.0,38.0,6.5,HOT,early,0.001202,83528689.48,-3.37,-6.76,-9.57,-9.57,10.1,10.1,-5.86,-12.05,True,True,True,True
LQTY/USDT,-2400.16,-2.65,pump_3h_down,8.0,19.0,12.0,4.7,WARM,early,2.04102,41352.1,1.08,-0.49,-0.44,-1.96,1.86,1.86,-0.64,-2.4,True,True,True,True
HIVE/USDT,-4431.64,-5.13,pump_3h_down,22.0,23.0,17.0,2.2,WARM,early,0.476738,174518.78,-1.18,-2.63,-5.11,-5.11,4.06,4.06,-2.13,-5.59,True,True,True,True
SPELL/USDT,-2430.01,-2.94,pump_3h_down,33.0,40.0,15.0,2.1,WARM,early,0.001155,67101999.27,3.55,-0.99,-5.27,-3.39,8.55,8.55,-0.15,-6.26,True,True,True,True
VTHO/USDT,-6087.47,-7.44,pump_initial_stop,-15.0,28.0,21.0,2.7,WARM,early,0.006496,12278972.78,-6.47,-8.02,-7.33,-7.33,2.81,2.81,-6.87,-10.15,True,True,True,True
USUAL/USDT,-2106.13,-2.55,pump_time_exit,23.0,25.0,19.0,13.8,WARM,early,0.371586,206471.82,0.78,-0.67,3.77,4.82,3.5,7.19,-0.59,-2.01,True,True,True,True
QTUM/USDT,-3874.53,-4.93,pump_stagnation_exit,-11.0,22.0,17.0,2.0,WARM,early,3.417708,22140.1,2.96,0.65,-0.55,1.35,3.72,4.75,-1.54,-1.6,True,True,True,True
MBOX/USDT,-5419.83,-7.84,pump_3h_down,21.0,26.0,26.0,57.1,WARM,early,0.125263,538693.77,-0.77,-5.48,-7.79,-7.79,7.77,7.77,-3.4,-8.83,True,True,True,True
GMX/USDT,-1269.17,-1.52,pump_3h_down,20.0,20.0,15.0,6.9,WARM,early,20.37018,3619.51,-0.39,-0.34,-1.28,-1.47,0.83,1.03,-1.62,-1.72,True,True,True,True
ME/USDT,-6090.7,-9.16,pump_3h_down,38.0,49.0,24.0,7.8,HOT,early,1.841921,35355.01,-0.65,-5.48,-9.06,-9.06,2.5,2.5,-3.47,-10.26,True,True,True,True
